pos,pos_rank,n,tchpg,i10pg,i10_share
FB,1,13,0.6987179487179487,0.10897435897435896,0.06384897154127923
QB,1,32,4.341145833333334,0.490625,0.11763095482082206
QB,2,32,1.7182291666666667,0.08385416666666667,0.026491195436507936
QB,3,18,0.1111111111111111,0.0,0.0
RB,1,32,17.148958333333333,1.3401041666666667,0.0729071832373123
RB,2,32,7.5296875,0.6140625,0.07205477854988937
RB,3,32,4.427083333333333,0.24166666666666667,0.03667974945065293
RB,4,26,2.216666666666667,0.23846153846153847,0.045666382495027
TE,1,32,5.1546875,0.43906249999999997,0.08495541109460401
TE,2,32,2.2640625,0.1421875,0.05568689123376623
TE,3,30,1.308888888888889,0.14277777777777778,0.08866466522813271
TE,4,22,0.6818181818181818,0.13636363636363635,0.047402597402597405
WR,1,32,7.872916666666668,0.39791666666666664,0.05173255165698873
WR,2,32,5.940625,0.4130208333333333,0.06805971761712615
WR,3,32,3.8880208333333335,0.19322916666666667,0.043249841032469705
WR,4,32,2.416145833333333,0.11458333333333333,0.04593003776803119
